SalesOrderID,SalesOrderLineNumber,OrderDate,CustomerKey,ProductKey,OrderQuantity,UnitPrice,ExtendedAmount,DiscountAmount,ProductStandardCost,TotalProductCost,SalesAmount,TaxAmt,Freight
91001,1,2016-01-07,10002,1002,1,1050,1050,50,650,650,1000,100,25
91002,1,2016-01-15,10005,1004,1,1450,1450,100,850,850,1350,135,35
91003,1,2016-02-03,10008,1012,2,60,120,0,25,50,120,12,6
91004,1,2016-02-18,10010,1006,3,85,255,15,40,120,240,24,8
91005,1,2016-03-02,10012,1009,2,55,110,0,20,40,110,11,5
91006,1,2016-03-10,10015,1010,4,25,100,0,10,40,100,10,4
91007,1,2016-03-22,10018,1003,1,1200,1200,75,700,700,1125,112.5,30
91008,1,2016-04-05,10001,1014,2,30,60,0,12,24,60,6,3
91009,1,2016-04-18,10004,1008,2,120,240,20,55,110,220,22,10
91010,1,2016-05-01,10007,1013,5,10,50,0,3,15,50,5,3
